28.02.2022;20.00
11.02.2022;9.50
20.12.2021;8.50
25.10.2021;7.50
13.09.2021;6.75
26.07.2021;6.50
15.06.2021;5.50
26.04.2021;5.00
22.03.2021;4.50
27.07.2020;4.25
22.06.2020;4.50
27.04.2020;5.50
10.02.2020;6.00
16.12.2019;6.25
28.10.2019;6.50
09.09.2019;7.00
29.07.2019;7.25
17.06.2019;7.50
17.12.2018;7.75
17.09.2018;7.50
26.03.2018;7.25
12.02.2018;7.50
18.12.2017;7.75
30.10.2017;8.25
18.09.2017;8.50
19.06.2017;9.00
02.05.2017;9.25
27.03.2017;9.75
19.09.2016;10.00
14.06.2016;10.50
03.08.2015;11.00
16.06.2015;11.50
05.05.2015;12.50
16.03.2015;14.00
02.02.2015;15.00
16.12.2014;17.00
12.12.2014;10.50
05.11.2014;9.50
28.07.2014;8.00
28.04.2014;7.50
03.03.2014;7.00
13.09.2013;5.50
14.09.2012;8.25
26.12.2011;8.00
03.05.2011;8.25
28.02.2011;8.00
01.06.2010;7.75
30.04.2010;8.00
29.03.2010;8.25
24.02.2010;8.50
28.12.2009;8.75
25.11.2009;9.00
30.10.2009;9.50
30.09.2009;10.00
15.09.2009;10.50
10.08.2009;10.75
13.07.2009;11.00
05.06.2009;11.50
14.05.2009;12.00
24.04.2009;12.50
01.12.2008;13.00
12.11.2008;12.00
14.07.2008;11.00
10.06.2008;10.75
29.04.2008;10.50
04.02.2008;10.25
19.06.2007;10.00
29.01.2007;10.50
23.10.2006;11.00
26.06.2006;11.50
26.12.2005;12.00
15.06.2004;13.00
15.01.2004;14.00
21.06.2003;16.00
17.02.2003;18.00
07.08.2002;21.00
09.04.2002;23.00
04.11.2000;25.00
10.07.2000;28.00
21.03.2000;33.00
07.03.2000;38.00
24.01.2000;45.00
10.06.1999;55.00
24.07.1998;60.00
29.06.1998;80.00
05.06.1998;60.00
27.05.1998;150.00
19.05.1998;50.00
16.03.1998;30.00
02.03.1998;36.00
17.02.1998;39.00
02.02.1998;42.00
11.11.1997;28.00
06.10.1997;21.00
16.06.1997;24.00
28.04.1997;36.00
10.02.1997;42.00
02.12.1996;48.00
21.10.1996;60.00
19.08.1996;80.00
24.07.1996;110.00
10.02.1996;120.00
01.12.1995;160.00
24.10.1995;170.00
19.06.1995;180.00
16.05.1995;195.00
06.01.1995;200.00
17.11.1994;180.00
12.10.1994;170.00
23.08.1994;130.00
01.08.1994;150.00
30.06.1994;155.00
22.06.1994;170.00
02.06.1994;185.00
17.05.1994;200.00
29.04.1994;205.00
15.10.1993;210.00
23.09.1993;180.00
15.07.1993;170.00
29.06.1993;140.00
22.06.1993;120.00
02.06.1993;110.00
30.03.1993;100.00
23.05.1992;80.00
10.04.1992;50.00
01.01.1992;20.00
